Genes	ctrl_1	ctrl_2	ctrl_3	ctrl_4	ctrl_5	trt_1	trt_2	trt_3	trt_4	trt_5
KRTAP5-10	229	1497	542	1524	972	258	818	1774	825	663
KRTAP5-11	246	281	422	143	202	77	126	331	471	256
KRTAP5-2	341	262	178	684	1196	484	111	41	244	236
KRTAP5-3	207	875	775	445	175	704	451	139	191	526
KRTAP5-4	557	342	480	410	727	723	502	418	341	311
KRTAP5-5	150	45	125	69	145	243	910	570	196	195
KRTAP5-6	2245	1965	3606	1923	2243	3600	3044	1426	2957	2453
KRTAP5-7	4267	1894	1608	1389	1632	164	252	48	265	537
KRTAP5-8	70	92	100	224	303	1317	603	465	775	715
KRTAP5-9	380	209	532	117	277	428	226	172	245	349
KRTAP6-1	225	63	501	504	262	290	335	100	578	146
KRTAP6-2	901	103	616	1206	611	1185	458	661	367	529
KRTAP6-3	434	67	662	1075	142	353	727	722	302	281
KRTAP7-1	2739	3078	1628	2867	1690	170	390	760	397	242
KRTAP8-1	354	262	103	40	96	195	126	348	526	131
KRTAP9-1	512	303	324	291	600	582	69	302	97	287
KRTAP9-2	321	253	100	158	86	80	103	162	187	143
KRTAP9-3	2321	824	1794	837	1299	2138	1388	1126	1852	4067
KRTAP9-4	2290	1404	1716	2411	1734	2700	1353	6059	1108	2653
KRTAP9-6	1967	1379	1037	1392	702	4024	3935	4092	5974	2447
KRTAP9-7	811	976	690	1580	1149	781	802	2389	965	390
KRTAP9-8	432	820	508	611	405	459	853	137	846	195
KRTAP9-9	422	736	1293	100	710	444	729	324	648	1131
KRTCAP2	339	1064	1475	1356	282	1583	232	898	856	387
KRTCAP3	1301	1395	769	5633	1528	957	1328	2034	1215	2956
KRTDAP	977	1184	975	496	676	2147	981	560	793	562
KSR1	617	2022	416	1530	798	207	608	841	537	748
KSR2	948	1619	394	1153	1371	182	70	209	131	355
KTI12	753	904	560	68	713	66	134	120	105	189
KTN1	731	2015	604	1244	583	3078	1028	656	1024	2119
KXD1	788	1011	327	883	436	6392	459	1598	1426	3404
KY	45	62	193	99	187	90	464	29	66	124
KYAT1	301	248	349	1335	878	396	754	1099	2082	380
KYAT3	1816	4554	1403	2281	967	1362	1360	1214	285	2095
KYNU	520	845	119	312	260	302	151	86	233	488
L1CAM	1595	286	843	601	1036	246	411	231	869	552
L1TD1	168	286	147	217	284	247	89	138	472	133
L2HGDH	761	1470	665	1096	1352	856	1534	3012	2916	1374
L3HYPDH	1405	729	1927	707	2499	3076	2085	1670	500	2640
L3MBTL1	532	845	145	1287	1183	470	299	326	855	679
L3MBTL2	346	617	373	476	575	1541	486	156	1010	374
L3MBTL3	1615	1073	1699	1273	1646	193	477	2772	956	1075
L3MBTL4	2485	1218	1762	3848	616	478	126	522	134	331
LACC1	957	4632	1249	1016	900	884	2099	544	611	1895
LACRT	206	996	593	1354	672	441	302	423	676	229
LACTB	142	436	304	427	823	389	257	311	241	331
LACTB2	1561	1561	1359	1057	990	610	1964	1215	1327	2046
LACTBL1	446	1930	529	430	936	1012	962	193	1326	627
LAD1	346	1819	758	861	960	1418	2060	1712	1420	991
LAG3	137	57	85	279	101	221	63	55	151	121
LAGE3	1151	724	1087	356	1049	1583	1430	496	499	1112
LAIR1	1521	322	3573	1277	1416	1649	1601	220	1208	1083
LAIR2	777	4762	1558	657	1220	1067	2629	3657	1174	1209
LALBA	174	99	256	122	98	672	357	195	522	329
LAMA1	1578	1095	1214	1768	1328	1020	1163	1138	1098	1251
LAMA2	900	2349	1312	1459	437	1384	1184	763	1159	558
LAMA3	1282	2924	3289	1888	3597	1110	118	210	615	474
LAMA4	1805	3695	1436	1330	1172	2666	1254	1729	1084	882
LAMA5	2446	3377	1251	2241	1034	1290	1280	2523	1516	2191
LAMB1	3201	1304	1841	5628	2044	2860	1260	1801	2852	3812
LAMB2	102	451	502	342	475	479	602	360	594	308
LAMB3	694	2892	227	550	1663	272	252	395	479	141
LAMB4	585	355	213	691	846	384	1836	1622	1407	1518
LAMC1	306	1023	135	277	333	93	97	147	78	183
LAMC2	169	237	231	759	228	499	239	171	90	726
LAMC3	198	96	224	439	164	120	493	133	206	138
LAMP1	1431	228	3076	2526	941	1107	897	954	1803	761
LAMP2	698	108	1590	176	1311	786	591	555	1401	640
LAMP3	1466	4743	1694	1225	2217	1606	3492	2796	1836	782
LAMP5	1869	1009	1543	1009	897	648	1119	1963	2301	157
LAMTOR1	327	457	1897	934	1099	582	204	481	314	231
LAMTOR2	130	875	1041	499	1092	456	968	470	695	576
LAMTOR3	604	1148	725	1243	535	243	154	126	50	203
LAMTOR4	362	592	1293	825	669	1784	301	841	629	239
LAMTOR5	651	621	178	617	328	363	469	516	527	474
LANCL1	3873	789	4304	1261	2153	442	1704	2103	2335	1177
LANCL2	277	1487	1370	1026	2875	1690	1027	2845	540	1346
LANCL3	48	138	90	148	168	131	37	92	42	36
LAP3	1066	1850	700	1833	918	1196	1575	4995	1630	1879
LAPTM4A	98	120	434	261	355	150	144	161	160	88
LAPTM4B	1183	950	489	760	512	886	391	2017	1048	820
LAPTM5	2791	519	2089	2062	1744	776	1233	1653	771	918
LARGE1	8	65	155	54	120	72	44	105	72	40
LARGE2	904	1851	791	1259	281	313	1409	2243	2905	2302
LARP1	2336	1751	1600	4278	1081	1197	1659	634	1324	135
LARP1B	296	1434	1444	2392	551	2363	2005	2057	1125	1096
LARP4	363	294	258	311	260	289	281	142	843	549
LARP4B	639	194	277	774	390	902	1299	584	349	364
LARP6	998	792	367	609	816	933	118	582	208	132
LARP7	652	3222	1235	2069	1638	365	1325	2796	915	791
LARS	223	128	173	105	197	697	603	1224	283	747
LARS2	1161	726	618	192	1087	625	378	376	760	477
LAS1L	2210	1780	2850	2539	3599	2123	861	1031	1797	3053
LASP1	1617	1332	1202	1333	774	13866	2651	6845	3721	2121
LAT	1452	945	331	2114	2370	1636	1986	1906	2072	374
LAT2	1860	1830	1423	1961	1927	2381	2733	1185	1968	2038
LATS1	1741	1115	94	275	1239	666	393	1109	626	536
LATS2	267	236	946	722	520	1246	742	1499	816	1868
LAX1	365	72	4	90	206	34	24	13	44	41
LAYN	272	255	219	341	124	783	547	692	97	518
LBH	1165	791	2151	566	715	705	1896	1107	1481	345
LBHD1	566	478	229	427	209	554	426	174	736	600
LBHD2	766	2349	1536	418	764	1002	1754	2142	1405	1078
LBP	70	105	322	95	143	28	164	123	179	82
LBR	1590	508	851	1216	342	1153	189	226	696	405
LBX1	1676	3205	1083	1251	2159	1755	1663	597	2851	1161
LBX2	238	809	520	422	425	100	120	896	698	837
LCA5	3898	825	1523	2561	2505	1068	951	902	1911	1138
LCA5L	843	1226	2417	3141	2901	1514	2596	1561	3870	3215
LCAT	1070	1175	2727	893	964	1899	1965	929	1781	1228
LCE1A	478	507	422	562	417	453	891	549	251	1518
LCE1B	1685	5296	1754	1761	973	3207	2783	2673	1473	811
LCE1C	48	109	142	212	265	76	98	170	93	81
LCE1D	2277	1644	641	994	672	468	936	913	1242	568
LCE1E	97	98	118	159	84	217	91	41	42	47
LCE1F	488	621	576	331	168	495	517	329	459	226
LCE2A	1433	4183	1229	1600	3265	1649	4026	2336	2257	1668
LCE2B	632	654	890	378	929	952	369	684	224	1831
LCE2C	2113	2260	1277	351	874	10453	10659	13314	4793	7286
LCE2D	1490	747	371	575	448	352	367	310	379	982
LCE3A	2487	1273	1375	524	1003	777	1551	2635	516	957
LCE3B	1902	2522	1213	1795	3124	959	3079	939	1614	5594
LCE3C	2680	194	584	529	449	265	1252	675	1806	725
LCE3D	185	1380	714	589	1039	724	2683	687	2429	3339
LCE3E	1905	797	901	2279	1891	3115	1198	1277	805	357
LCE4A	2641	3556	730	1293	2474	1449	814	2897	389	2604
LCE5A	519	722	837	305	671	164	54	96	130	319
LCE6A	2811	845	1524	827	1162	1192	1605	556	1441	851
LCK	320	908	324	1347	898	1195	415	1393	733	338
LCLAT1	149	162	717	127	743	525	548	496	298	753
LCMT1	105	133	382	55	152	133	144	65	307	97
LCMT2	1173	1501	544	1168	1324	2815	2152	1221	710	1019
LCN1	2921	857	1231	1849	1653	1027	532	1860	1575	1710
LCN10	481	1190	1211	835	1282	165	280	161	162	171
LCN12	387	1552	1674	1646	1696	67	943	442	1557	1222
LCN15	614	2485	719	1958	1838	1865	387	700	868	1804
LCN2	927	932	891	562	478	1378	625	302	830	243
LCN6	2428	858	2752	1808	3219	1093	1324	664	4514	1914
LCN8	404	160	270	498	161	284	513	333	172	511
LCN9	366	135	415	276	219	233	220	355	86	288
LCNL1	380	179	640	201	159	448	304	550	272	286
LCOR	614	1656	2804	1966	2565	756	1407	1139	2361	899
LCORL	2687	1586	2402	644	645	2815	2735	1652	5516	2714
LCP1	1326	680	388	222	902	766	384	557	337	730
LCP2	1215	536	467	224	107	197	325	372	230	201
LCT	1837	930	2011	387	561	9247	2836	3860	8008	3710
LCTL	1717	1508	1404	2378	1483	3787	7116	4883	7322	9101
LDAH	892	407	706	2076	1427	1719	1731	1704	979	2243
LDB1	1805	5173	1754	1224	698	1680	4224	11319	1665	4649
LDB2	300	1282	1544	1545	3975	2083	815	1150	1640	716
LDB3	2740	1080	2041	4967	1261	1381	2388	1944	1812	1726
LDHA	624	445	627	1060	814	626	1722	861	1081	1165
LDHAL6A	319	699	825	587	1412	333	385	415	926	602
LDHAL6B	1800	1004	393	1572	1078	1342	326	1875	1093	1009
LDHB	881	102	1640	398	828	555	702	627	601	558
LDHC	643	485	1262	1202	309	809	1185	829	490	403
LDHD	225	258	427	280	840	202	278	219	817	503
LDLR	1132	608	1640	690	450	851	954	1589	2213	767
LDLRAD1	1414	1007	2859	347	865	1237	1359	1524	891	1396
LDLRAD2	763	1247	1785	657	675	523	2096	930	701	1881
LDLRAD3	79	341	151	353	548	281	248	548	313	142
LDLRAD4	491	648	1216	1084	448	958	770	448	612	528
LDLRAP1	310	486	179	433	423	379	300	801	143	67
LDOC1	1746	699	741	742	1159	2873	5204	7585	1190	4156
LEAP2	880	1507	1440	168	359	2329	930	1169	883	599
LECT2	2250	1300	1008	2247	2861	1882	766	1692	5082	763
LEF1	1436	1799	2732	1417	2348	952	1938	2555	2558	750
LEFTY1	2126	3143	881	2132	782	3073	4647	7414	2540	2225
LEFTY2	3095	438	2476	1484	2105	457	563	930	1267	784
LEKR1	2029	651	1090	1577	1891	397	797	850	1304	649
LELP1	145	197	121	139	146	86	146	215	49	139
LEMD1	2284	1254	858	2271	1095	798	609	2135	2452	1449
LEMD2	1346	749	864	1589	564	1281	1535	472	1278	875
LEMD3	971	1357	345	1051	2219	657	613	1745	841	743
LENEP	1272	450	1029	778	1114	137	1516	130	957	1099
LENG1	813	1004	1841	1543	1804	1340	864	2364	2291	1776
LENG8	866	436	313	258	499	350	497	470	572	905
LENG9	1018	412	590	1341	435	509	667	469	415	157
LEO1	906	146	1563	331	1245	1990	1972	1980	3376	1004
LEP	1567	2021	890	1090	3186	327	1020	1948	4261	2340
LEPR	37	46	60	117	55	28	44	6	12	7
LEPROT	1249	1776	1409	2663	1820	2668	1855	1015	307	4230
LEPROTL1	1079	365	631	260	1385	853	456	185	171	148
LETM1	3670	2829	1288	825	2414	584	1356	2015	2257	742
LETM2	342	911	617	1490	1458	1225	713	1591	912	516
LETMD1	679	1104	1096	3390	1768	1459	849	2014	1336	1799
LEUTX	1767	197	917	1135	765	971	1623	1042	1635	2440
LEXM	255	208	326	723	529	650	140	520	586	349
LFNG	168	287	442	364	372	734	136	281	303	221
LGALS1	1159	1451	916	910	976	3712	1295	971	2242	835
LGALS12	291	477	584	380	665	392	1188	297	423	674
LGALS13	2568	2848	6305	1788	1469	1319	4400	6080	1992	4193
LGALS14	572	1153	809	1008	363	837	403	831	1863	1136
LGALS16	217	234	350	107	717	667	1949	904	1472	550
LGALS2	928	1835	1050	950	247	2322	6999	3231	3679	10651
LGALS3	639	553	821	1136	402	446	1008	970	445	906
LGALS3BP	118	273	83	421	914	83	55	78	163	122
LGALS4	402	1188	216	426	1702	1277	160	1154	947	800
LGALS7	695	3988	2302	854	2170	2258	1609	2226	1060	2661
LGALS7B	747	616	477	770	1226	1512	816	2499	239	943
LGALS8	522	614	640	731	363	566	953	694	640	331
LGALS9	418	477	952	2495	1521	857	1076	641	1491	685
LGALS9B	198	25	59	62	249	89	70	103	72	94
LGALS9C	257	212	141	273	93	184	206	392	374	43
LGALSL	560	889	1795	1619	2532	1203	393	5381	1396	1065
LGI1	1702	1240	631	2875	1569	2106	805	1832	1060	2034
LGI2	104	465	1023	106	1063	316	357	217	153	468
LGI3	1372	687	395	581	839	2465	1472	1394	654	2140
LGI4	2941	288	974	2211	2647	1840	2473	1281	1351	1281
LGMN	453	369	261	511	368	302	200	108	349	277
LGR4	644	539	269	389	267	508	797	331	385	658
LGR5	1039	1815	1477	1980	2243	601	2487	2436	644	2764
LGR6	348	3148	1557	279	1052	1080	637	893	619	1286
LGSN	331	216	180	480	277	412	493	138	581	391
LGTN	354	598	664	463	750	279	730	322	658	785
LHB	397	227	132	124	110	188	87	138	186	51
LHCGR	923	815	968	1193	1498	315	827	843	605	622
LHFPL1	1399	1622	2097	1750	1708	803	3357	1840	3038	1847
LHFPL2	1567	887	420	383	1161	303	1186	958	802	964
LHFPL3	822	1312	1108	2329	1356	1727	2449	1701	806	1374
LHFPL4	681	828	472	973	973	2769	5087	1581	1401	2927
LHFPL5	218	474	138	284	448	381	327	314	301	362
LHFPL6	84	62	61	56	114	36	52	74	137	97
LHPP	1346	1245	1306	1065	2745	731	2353	717	1894	2441
LHX1	1595	1937	1463	667	498	2545	849	1233	2477	1804
LHX2	257	482	423	294	452	763	588	453	307	506
LHX3	649	487	527	896	1006	947	692	839	425	412
LHX4	570	1143	572	1300	2381	775	2216	542	948	1060
LHX5	1550	1435	885	1591	1210	355	339	1373	1308	580
LHX6	157	216	344	909	682	204	541	1930	532	514
LHX8	567	75	946	498	358	1984	404	257	363	344
LHX9	790	1172	251	737	520	668	516	479	909	395
LIAS	855	734	1670	381	2050	474	369	176	438	432
LIF	1423	830	779	1080	1765	1886	2496	1269	507	1799
LIFR	1985	1360	312	1199	1493	904	1112	2168	1757	1023
LIG1	1051	1258	2533	2751	1464	1092	1248	2128	1246	2287
LIG3	945	1273	1422	1217	2450	3501	3577	1642	1557	2209
LIG4	717	588	119	125	684	396	474	489	419	622
LILRA1	446	221	553	279	268	583	330	427	456	344
LILRA2	1370	468	730	1024	1418	637	1326	3067	724	348
LILRA3	52	165	139	286	60	246	109	134	28	153
LILRA4	969	1796	1279	2367	2700	3214	1938	1153	4064	429
LILRA5	4887	1054	2453	1557	398	474	2226	1257	2325	2037
LILRA6	514	1256	1619	1113	2354	8926	4991	2256	5680	9409
LILRB1	216	189	459	276	311	987	893	655	588	278
LILRB2	413	269	412	60	292	38	74	79	36	109
LILRB3	621	201	189	1095	197	188	943	1137	532	649
LILRB4	1787	697	1245	2830	1385	2373	555	1515	1407	662
LILRB5	1006	925	1133	578	263	808	923	636	441	639
LIM2	104	108	102	127	181	117	228	180	153	148
LIMA1	506	541	1078	245	688	783	1629	552	242	628
LIMCH1	1375	3867	4091	2145	3704	1262	952	4957	2390	1883
LIMD1	2232	599	1810	1157	1146	679	784	217	3486	2000
LIMD2	2329	2549	1435	4072	1099	3406	1549	922	931	381
LIME1	1592	1654	1045	569	927	1442	959	3478	2167	1948
LIMK1	1200	1420	1067	550	1315	1087	711	732	2406	254
LIMK2	795	340	298	351	293	156	270	364	217	654
LIMS1	601	1280	942	1612	514	953	373	606	356	383
LIMS2	484	1282	1101	2094	959	661	862	1421	428	702
LIMS3	667	1333	1421	680	2052	2822	1202	1456	2640	2851
LIMS4	669	264	1308	842	525	223	117	53	164	227
LIN28A	172	344	522	120	104	192	131	204	210	321
LIN28B	1688	883	1083	654	521	1264	3516	967	474	1349
LIN37	429	382	227	863	156	231	827	645	202	96
LIN52	467	1168	274	1716	2867	8347	3396	3295	2564	4783
LIN54	1010	623	669	1064	360	197	301	802	346	462
LIN7A	773	238	329	335	1054	752	231	514	556	402
LIN7B	1678	863	1104	670	904	2441	521	817	616	962
LIN7C	1628	410	1463	323	391	569	789	409	944	884
LIN9	1647	185	1878	2473	817	2258	427	404	868	1198
LINC00452	185	320	204	273	221	440	369	476	400	799
LINC01638	906	1183	1670	2674	793	613	45	1004	182	289
LINC01835	119	252	250	301	523	294	115	527	172	170
LINC02054	96	182	92	275	237	164	195	164	161	62
LINC02210-CRHR1	839	544	1803	139	1071	1154	1894	2432	1171	1328
LINGO1	299	586	306	320	104	428	249	503	494	393
LINGO2	2480	1684	88	533	408	1219	2002	1473	1004	772
LINGO3	3100	4376	1010	1843	641	2338	2038	2325	1840	3255
LINGO4	1964	1062	2114	1995	1283	2362	1387	2325	993	683
LINS1	1663	882	1239	609	828	1356	1298	1382	954	1167
LIPA	857	585	881	2271	667	2168	523	1338	1580	597
LIPB	326	1025	296	126	823	258	291	206	688	512
LIPC	2145	1929	982	468	435	586	155	319	837	880
LIPE	781	128	529	584	440	641	535	685	929	1035
LIPF	1878	1597	2613	2183	2194	3040	2783	2176	3772	2906
LIPG	787	487	244	412	600	679	488	197	220	534
LIPH	955	798	1487	1120	450	1350	287	873	554	271
LIPI	2497	1368	2408	1213	1288	1157	2095	1284	3228	1578
LIPJ	1616	779	515	2207	1893	2523	2413	2084	676	1022
LIPK	1098	1874	355	938	1011	2794	775	1232	394	1260
LIPM	1042	1124	1376	2480	1128	1767	818	1751	2219	2010
LIPN	335	343	298	775	902	1716	586	566	503	665
LIPT1	3816	998	771	3194	2345	1257	1015	2456	511	601
LIPT2	381	216	811	545	1156	797	155	375	581	44
LITAF	267	589	403	633	162	459	385	325	283	432
LIX1	926	840	2045	1266	822	719	2360	2308	2751	1316
LIX1L	1088	1453	1130	968	1550	659	1209	365	1421	982
LKAAEAR1	1625	2688	894	1428	269	2410	1313	2119	535	2391
LLCFC1	2340	1806	3627	1162	986	2708	2187	3675	2397	1327
LLGL1	1311	1747	2850	597	980	723	330	3235	1489	1769
LLGL2	115	91	202	184	141	675	1010	902	109	1752
LLPH	2045	1395	1823	618	2300	236	431	1603	766	689
LMAN1	1336	2083	712	1214	2345	645	1902	1274	1392	1640
LMAN1L	3449	1313	2777	2769	1311	2064	514	1208	1761	1600
LMAN2	744	1277	989	1200	296	831	754	614	1789	503
LMAN2L	628	391	169	197	218	524	578	814	913	395
LMBR1	1325	1790	1951	2936	1780	2254	2620	1354	903	1034
LMBR1L	628	461	338	1135	693	227	182	533	1926	141
LMBRD1	2146	346	1983	1540	1462	1221	785	1768	699	485
LMBRD2	183	1159	597	508	535	1529	626	1350	731	652
LMCD1	307	631	403	2030	528	657	2650	680	1167	615
LMF1	2042	2302	444	3353	2192	2148	4389	1425	765	1033
LMF2	89	716	465	695	359	1151	787	1593	1213	294
LMLN	3173	1533	957	2878	2175	1007	1031	1921	853	791
LMLN2	75	39	45	47	49	102	86	114	48	98
LMNA	964	486	256	148	439	410	874	854	937	774
LMNB1	567	1840	475	644	582	1060	711	227	863	446
LMNB2	1274	1210	1988	724	406	1439	2136	503	2136	2371
LMNTD1	838	558	908	839	410	1107	781	258	807	566
LMNTD2	616	2327	405	2054	1611	2542	1497	1240	1608	945
LMO1	1198	508	500	938	1443	584	1214	237	1519	731
LMO2	1194	3311	1413	1108	849	187	1075	141	2469	2214
LMO3	1176	526	2771	726	2504	607	2198	481	313	2731
LMO4	1173	586	1107	1221	854	454	502	1207	542	362
LMO7	654	597	1001	1027	320	1107	980	1055	266	1084
LMO7DN	940	609	1262	781	596	1010	189	1405	571	2181
LMOD1	195	90	163	56	71	161	247	52	122	185
LMOD2	2966	1309	5396	672	1362	1256	1241	2208	1571	1184
LMOD3	792	2835	1378	1621	2452	2407	1167	1247	1122	2192
LMTK2	628	918	407	983	166	418	291	110	242	128
LMTK3	632	574	2692	1248	1053	1005	1207	1120	1902	1021
LMX1A	4481	2268	648	3605	884	1505	1319	1354	2479	1668
LMX1B	693	896	725	493	810	560	635	597	677	446
LNP1	1565	1154	814	1840	2604	2235	645	628	3538	2903
LNPEP	64	190	301	204	244	80	84	104	198	163
LNPK	1101	553	626	325	431	949	1098	233	1167	377
LNX1	2499	1944	1310	2623	869	3040	1645	509	2727	1376
LNX2	1353	840	1208	905	770	466	466	266	365	343
LOC100128108	1142	1174	1285	811	942	237	364	274	544	129
LOC100128242	935	1719	2343	2382	1062	3699	1174	1754	2767	2575
LOC100129083	1692	828	913	1544	2570	2142	830	579	2550	2787
LOC100129098	738	826	1056	669	589	1080	463	1383	487	1214
LOC100129307	976	443	837	517	674	892	400	1689	976	4131
LOC100129484	2464	938	1040	778	832	365	1522	1152	719	655
LOC100129697	2341	1075	2812	2069	1753	1775	1658	882	552	769
LOC100130345	236	3631	2900	2247	2350	1504	360	1691	1370	515
LOC100130357	3724	1407	1134	1402	1942	2422	1336	1752	1267	2324
LOC100130370	2390	879	1149	684	1025	2617	2367	1599	1804	552
LOC100130449	254	436	285	169	264	2035	1659	1385	328	904
LOC100130451	630	1705	1051	833	2088	1670	2476	1557	2573	1516
LOC100130778	1177	1148	1110	1033	718	924	1624	2102	3131	2376
LOC100130880	2004	1320	1092	1955	1282	1827	706	1750	3372	695
LOC100131107	383	380	554	354	1671	197	389	173	250	413
LOC100132202	2074	417	1649	1666	1759	6782	1931	5894	6655	9677
LOC100132813	146	202	415	65	276	614	118	195	244	333
LOC100132874	362	381	546	320	504	749	655	721	557	212
LOC100134391	1297	1310	625	1353	918	1467	1864	841	928	871
LOC100144595	936	1259	1523	2455	1324	2256	2196	1512	1491	1187
LOC100286986	314	525	718	242	912	508	795	784	610	583
LOC100287036	1153	363	1042	1444	1573	1151	947	1530	2560	1985
LOC100287290	720	1105	566	154	153	562	502	522	941	563
LOC100287896	35	40	46	67	65	109	51	16	10	74
LOC100288562	328	287	279	374	247	194	156	100	38	89
LOC100288966	2651	1601	618	2809	1917	1442	1676	1585	1600	1133
LOC100289561	637	324	75	288	695	345	989	577	804	161
LOC100505502	227	208	318	248	401	321	202	636	215	160
LOC100505549	828	2910	1229	1037	296	1510	1859	1247	887	1062
LOC100505841	1281	612	775	490	748	1471	1224	413	1099	1633
LOC100506388	1313	949	614	293	2057	1614	865	1554	2427	2001
LOC100506422	2482	951	1580	749	1029	1919	2111	1110	1479	2267
LOC100506514	2733	684	433	2292	3052	953	1715	426	2809	840
LOC100507221	909	2147	1122	736	587	161	437	1430	305	308
LOC100507507	1073	787	1190	430	522	478	773	1142	950	942
LOC100507703	1940	1350	492	1603	2840	1382	1259	954	632	2152
LOC100509620	1214	565	490	1619	632	1116	1249	1067	287	905
LOC100652777	156	138	342	60	140	278	62	122	160	155
LOC100652833	770	948	1255	395	647	1216	1166	147	188	739
LOC100652871	94	16	64	70	53	149	28	57	117	92
LOC100652901	1804	1933	627	854	1374	1446	4631	2955	786	1029
LOC100653049	2139	994	810	1033	3696	859	1142	1323	4033	3883
LOC100653061	607	523	536	753	305	519	197	117	409	742
LOC100653133	214	691	481	666	302	209	497	780	623	693
LOC100996274	2458	1487	3133	1906	2185	1382	3332	3805	1234	4276
LOC100996337	490	885	856	644	659	518	759	705	982	521
LOC100996379	970	801	1089	1794	1883	242	447	403	423	262
LOC100996401	1046	824	851	3235	254	385	682	1007	710	517
LOC100996413	818	4512	3619	1608	1958	707	1839	582	1823	829
LOC100996442	135	832	558	1969	2256	528	335	316	502	524
LOC100996574	92	60	80	93	108	28	64	224	85	137
LOC100996598	106	413	1378	950	166	234	597	495	759	338
LOC100996637	1130	2554	652	1218	2754	1336	1260	1438	187	843
LOC100996643	481	2029	4271	4122	3589	1340	1786	765	792	4181
LOC100996701	163	112	526	265	233	406	110	238	106	490
LOC100996709	1171	452	1008	1256	401	355	873	1773	1397	1967
LOC100996713	224	1167	645	705	275	570	231	574	1109	372
LOC100996720	1247	1931	2678	1873	1917	416	331	248	688	803
LOC100996747	1741	1261	1323	2475	631	1047	939	1188	1469	808
LOC100996750	911	1134	661	744	862	289	1129	939	875	1341
LOC100996842	329	308	463	206	821	277	762	638	407	344
LOC101059906	90	53	115	68	18	217	303	46	364	522
LOC101059915	155	755	991	1254	3275	1008	1084	1722	2070	343
LOC101059949	362	351	786	489	1042	103	142	164	85	144
LOC101060017	529	737	490	650	484	830	268	433	131	683
LOC101060022	1570	1587	4690	1518	1324	1143	734	2263	4242	2202
LOC101060024	429	603	705	1040	1875	805	1839	703	379	468
LOC101060179	763	1431	4116	877	2209	1290	2679	1594	1817	994
LOC101060254	144	283	377	223	477	124	460	392	364	768
LOC101060399	90	17	71	33	56	68	44	23	77	92
LOC101060405	956	764	837	660	673	1699	839	1286	979	2221
LOC101060445	1238	740	1137	1408	1264	1174	1920	1527	587	2469
LOC101060521	1490	741	2072	1240	1488	1679	1044	605	125	394
LOC101927245	1676	1052	2030	3103	703	2278	3863	2077	814	466
LOC101927262	781	1095	849	966	793	497	1541	2097	1588	252
LOC101927322	324	1091	235	977	641	267	528	450	801	1223
LOC101927345	2276	1479	2262	966	1506	193	575	351	326	114
LOC101927353	1455	894	627	932	751	875	508	858	207	726
LOC101927401	529	568	738	235	421	156	1366	427	306	364
LOC101927503	102	103	167	287	523	232	242	837	116	111
LOC101927506	1669	2986	3289	1870	614	2382	1382	1300	2615	1343
LOC101927509	1651	1002	1242	1208	864	959	2383	3368	672	1553
LOC101927572	143	194	57	248	108	138	121	172	188	52
LOC101927789	1025	436	727	1082	426	794	1362	585	371	268
LOC101927824	1579	1172	555	2116	2416	10525	1847	4246	6660	7290
LOC101927844	1249	895	6063	1956	1027	2246	2706	2255	687	3048
LOC101928093	676	535	468	580	941	433	1328	696	1108	449
LOC101928095	1750	580	2027	463	2093	1374	2391	1547	1035	2141
LOC101928120	1102	939	237	1386	683	266	339	2044	545	1575
LOC101928193	146	555	575	694	408	524	517	251	486	745
LOC101928212	29	47	28	66	146	60	128	81	41	54
LOC101928268	977	621	1295	452	263	964	928	973	270	350
LOC101928436	761	1327	856	791	183	975	1235	615	647	414
LOC101928548	1450	953	1681	1162	1361	2342	1532	1696	840	1132
LOC101928589	223	892	187	237	208	263	342	324	1020	444
LOC101928592	1133	1452	483	215	1192	61	222	243	50	224
LOC101928635	90	59	45	15	123	37	60	85	80	68
LOC101928722	2287	945	1023	650	3410	1250	4165	4446	1930	2712
LOC101928764	1001	1322	2125	816	2628	2969	2072	1493	990	2765
LOC101928841	730	950	62	552	304	890	310	417	458	248
LOC101928879	290	1401	552	2330	665	830	444	1128	734	601
LOC101929141	656	535	170	501	137	182	121	438	515	415
LOC101929372	710	404	712	2507	2321	746	1386	707	349	1776
LOC101929400	317	379	302	355	218	469	618	538	469	140
LOC101929578	809	479	502	984	1483	689	290	958	721	618
LOC101929601	2672	4066	1225	824	1797	1232	1512	1151	367	1358
LOC101929627	1959	1507	1107	390	806	1146	609	1457	429	1343
LOC101929692	293	239	329	443	484	404	312	758	347	740
LOC101929773	416	901	336	338	681	1688	609	809	546	1344
LOC101929812	1940	1898	541	1086	1788	108	79	162	140	109
LOC101929876	1762	1511	588	1572	2356	2481	7898	3583	8187	3246
LOC101929895	389	240	419	178	419	639	195	284	275	741
LOC101929937	2010	1111	299	650	1581	560	2094	1491	2917	2307
LOC101929950	962	1976	901	565	598	622	677	714	507	904
LOC101929959	294	628	168	422	799	269	407	441	172	589
LOC101929970	247	332	265	153	133	525	258	843	202	150
LOC101929989	1595	1747	1348	1154	2116	6013	8175	4982	5424	7533
LOC101930047	757	858	261	312	206	654	535	383	260	185
LOC101930115	1451	1985	196	839	2922	818	798	2032	2783	1879
LOC101930123	524	658	1264	108	517	1489	541	1010	605	962
LOC101930307	806	937	388	213	1221	262	761	862	668	1037
LOC101930420	860	2035	4487	1468	1022	2653	1304	1918	1952	1725
